"","T_MAPCODE","prpinv_niaps","D3_niaps","B1i_niaps","B2i_niaps","prpinv_cfs_iat","D3_cfr_iat","B1i_cfr_iat","B2i_cfr_iat","prpinv_mapwaps","D1_mapwaps","B1i_mapwaps","B2i_mapwaps","prpinv_umgeni","D1_um","B1i_um","B2i_um","prpinv_max","D3_inv","B1i_inv","B2i_inv"
"360","SVcb25",0.00573608104690275,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00573608104690275,1,1,1
"361","SVcb26",0.0177908456556032,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0177908456556032,1,1,1
"362","SVcb27",0.00132021710530665,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00132021710530665,1,1,1
"363","SVcb28",0.00736942281842409,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00736942281842409,1,1,1
"364","SVcb29",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"365","SVcb3",0.00990977825640242,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00990977825640242,1,1,1
"366","SVcb4",0.00394825422060129,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00394825422060129,1,1,1
"367","SVcb5",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"368","SVcb6",0.0168185375150427,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0168185375150427,1,1,1
"369","SVcb7",0.00257098751408779,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00257098751408779,1,1,1
"370","SVcb8",0.0146428224178941,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0146428224178941,1,1,1
"371","SVcb9",0.0222596664389779,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0222596664389779,1,1,1
"372","SVk1",0.0000153974712219763,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000153974712219763,1,1,1
"373","SVk10",0.000315613647593354,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000315613647593354,1,1,1
