"","nlc2022_7class","T_MAPCODE","niaps_arc","n"
"877","5","FFg3","0",10259
"878","6","FFg3","0",0
"879","7","FFg3","0",13109
"880","NaN","FFg3","0",0
"881","1","FFg4","0",28804
"882","2","FFg4","0",2268
"883","3","FFg4","0",73
"884","4","FFg4","0",3
"885","5","FFg4","0",4025
"886","6","FFg4","0",0
"887","7","FFg4","0",0
"888","NaN","FFg4","0",0
"889","1","FFg5","0",281235
"890","2","FFg5","0",103009
"891","3","FFg5","0",4412
"892","4","FFg5","0",126100
"893","5","FFg5","0",470587
"894","6","FFg5","0",1631
"895","7","FFg5","0",29168
"896","NaN","FFg5","0",0
"897","1","FFh1","0",493421
"898","2","FFh1","0",158288
"899","3","FFh1","0",28826
"900","4","FFh1","0",8846
"901","5","FFh1","0",368938
"902","6","FFh1","0",81
"903","7","FFh1","0",4788
"904","NaN","FFh1","0",0
"905","1","FFh10","0",629471
"906","2","FFh10","0",5343
"907","3","FFh10","0",45
"908","4","FFh10","0",422
"909","5","FFh10","0",5097
"910","6","FFh10","0",0
"911","7","FFh10","0",683
"912","NaN","FFh10","0",0
"913","1","FFh11","0",11302
"914","2","FFh11","0",2543
"915","3","FFh11","0",34
"916","4","FFh11","0",11929
"917","5","FFh11","0",0
"918","6","FFh11","0",1
"919","7","FFh11","0",1316
"920","NaN","FFh11","0",0
"921","1","FFh2","0",253202
"922","2","FFh2","0",8395
"923","3","FFh2","0",148
"924","4","FFh2","0",101
"925","5","FFh2","0",4484
"926","6","FFh2","0",5
"927","7","FFh2","0",0
"928","NaN","FFh2","0",0
"929","1","FFh3","0",152664
"930","2","FFh3","0",16671
"931","3","FFh3","0",572
"932","4","FFh3","0",561
"933","5","FFh3","0",9091
"934","6","FFh3","0",49
"935","7","FFh3","0",342
"936","NaN","FFh3","0",0
"937","1","FFh4","0",451495
"938","2","FFh4","0",74216
"939","3","FFh4","0",6368
"940","4","FFh4","0",7187
"941","5","FFh4","0",173151
"942","6","FFh4","0",250
"943","7","FFh4","0",4562
"944","NaN","FFh4","0",0
"945","1","FFh5","0",80304
"946","2","FFh5","0",33460
"947","3","FFh5","0",2118
"948","4","FFh5","0",23173
"949","5","FFh5","0",27590
"950","6","FFh5","0",3
"951","7","FFh5","0",21680
"952","NaN","FFh5","0",0
"953","1","FFh6","0",115481
