"","LC","T_MAPCODE","niaps_arc","n","km2"
"559",3,"FFb2",0,130,0.052
"560",4,"FFb2",0,115,0.046
"561",5,"FFb2",0,2031,0.8124
"562",7,"FFb2",0,3309,1.3236
"563",1,"FFb3",0,243295,97.318
"564",2,"FFb3",0,127,0.0508
"565",3,"FFb3",0,31,0.0124
"566",4,"FFb3",0,69,0.0276
"567",5,"FFb3",0,145,0.058
"568",7,"FFb3",0,3,0.0012
"569",1,"FFb4",0,111552,44.6208
"570",2,"FFb4",0,4469,1.7876
"571",3,"FFb4",0,24,0.0096
"572",4,"FFb4",0,238,0.0952
"573",5,"FFb4",0,11022,4.4088
"574",7,"FFb4",0,2885,1.154
"575",1,"FFb5",0,235529,94.2116
"576",2,"FFb5",0,12121,4.8484
"577",3,"FFb5",0,289,0.1156
"578",4,"FFb5",0,603,0.2412
"579",5,"FFb5",0,17393,6.9572
"580",6,"FFb5",0,9,0.0036
"581",7,"FFb5",0,318,0.1272
"582",1,"FFb6",0,55148,22.0592
"583",2,"FFb6",0,19214,7.6856
"584",3,"FFb6",0,1472,0.5888
"585",4,"FFb6",0,6256,2.5024
"586",5,"FFb6",0,61992,24.7968
"587",6,"FFb6",0,28,0.0112
"588",7,"FFb6",0,24867,9.9468
"589",1,"FFc1",0,714218,285.6872
"590",2,"FFc1",0,193233,77.2932
"591",3,"FFc1",0,3519,1.4076
"592",4,"FFc1",0,20873,8.3492
"593",5,"FFc1",0,864775,345.91
"594",6,"FFc1",0,466,0.1864
"595",7,"FFc1",0,11591,4.6364
"596",1,"FFd1",0,2766688,1106.6752
"597",2,"FFd1",0,304049,121.6196
"598",3,"FFd1",0,1,4e-04
"599",4,"FFd1",0,1086,0.4344
"600",5,"FFd1",0,176197,70.4788
"601",6,"FFd1",0,4418,1.7672
"602",7,"FFd1",0,3,0.0012
"603",1,"FFd10",0,57202,22.8808
"604",2,"FFd10",0,18554,7.4216
"605",3,"FFd10",0,314,0.1256
"606",4,"FFd10",0,23889,9.5556
"607",5,"FFd10",0,13320,5.328
"608",6,"FFd10",0,61,0.0244
"609",7,"FFd10",0,238839,95.5356
"610",1,"FFd11",0,102955,41.182
"611",2,"FFd11",0,3930,1.572
"612",3,"FFd11",0,152,0.0608
"613",4,"FFd11",0,3654,1.4616
"614",5,"FFd11",0,31701,12.6804
"615",6,"FFd11",0,601,0.2404
"616",7,"FFd11",0,143,0.0572
"617",1,"FFd2",0,1848235,739.294
"618",2,"FFd2",0,849723,339.8892
"619",3,"FFd2",0,3529,1.4116
"620",4,"FFd2",0,23594,9.4376
"621",5,"FFd2",0,2348928,939.5712
"622",6,"FFd2",0,1032,0.4128
"623",7,"FFd2",0,4453,1.7812
"624",1,"FFd3",0,1498170,599.268
"625",2,"FFd3",0,386235,154.494
"626",3,"FFd3",0,2346,0.9384
"627",4,"FFd3",0,19614,7.8456
"628",5,"FFd3",0,510050,204.02
"629",6,"FFd3",0,264,0.1056
"630",7,"FFd3",0,1065,0.426
"631",1,"FFd4",0,511539,204.6156
"632",2,"FFd4",0,275664,110.2656
